商品名称,商品编号,条形码,产地,规格信息,促销价格,原价
康师傅冰红茶500ml,00015,6921317905014,杭州,500ml,3.00,4.00
三得利乌龙茶饮料无糖500ml,00063,6921581596048,江苏,500ml,4.50,6.00
益达木糖醇无糖口香糖冰凉薄荷味56g,00031,6923450656181,广州,56g,11.90,16.90
娃哈哈营养快线原味500g,00067,6902083886455,杭州,500g,4.50,5.00
洽洽香瓜子260g,00033,6924187821644,重庆市荣昌县,260g,9.50,16.60
娃哈哈营养快线香草味500ml,00068,6902083891770,杭州,500ml,4.50,5.00
康师傅红烧牛肉面桶装113g,00053,6920152414019,见包装,113g,5.00,6.80
尖叫运动饮料多肽型550ml,00076,6921168504015,湖北丹江口,550ml,4.80,6.00
脉动维生素饮料桃子味600ml,00058,6902538005141,广东,600ml,4.50,7.00
尖叫运动饮料纤维型550ml,00077,6921168504022,广东,550ml,4.80,6.00
脉动维生素饮料青柠味600ml,00059,6902538004045,广东,600ml,4.50,7.00
农夫水溶C100柠檬味复合果汁饮料445ml,00081,6921168500956,浙江,445ml,4.60,5.80
脉动维生素饮料雪柚橘子味600ml,00060,6902538004052,广东,600ml,4.50,7.00
加多宝凉茶310ml,00172,6943924100019,杭州,310ml,3.50,4.50
亲亲黑米粥360g,00203,6902372999996,扬州,360g,4.00,5.00
雀巢浓醇拿铁浓咖啡饮料180ml,01461,6917878027333,天津,180ml,3.30,6.00
洽洽原香瓜子142g,00310,6924187828759,安徽省合肥市,142g,6.90,12.00
洋河蓝色经典海之蓝42°480ml,01777,6932599210086,江苏宿迁,480ml,128.00,188.00
益达木糖醇无糖口香糖清爽草莓味56g,00312,6923450656150,广州,56g,11.90,16.90
洋河蓝色经典天之蓝42°480ml,01870,6932599210079,江苏宿迁,480ml,289.00,428.00
三得利乌龙茶低糖500ml,00494,6921581596055,上海,500ml,4.50,6.00
旺旺小小酥葱香鸡肉味60g,01939,6909995103687,湖南省长沙市,60g,4.00,5.50
亲亲八宝粥360g,00527,6902372198887,扬州,360g,4.40,5.50
旺旺小小酥原味60g,01942,6909995103670,南京,60g,4.00,5.50
太平加钙梳打香葱味100g,00534,6901668200235,北京,100g,4.00,6.60
鲁花5S压榨一级花生油5000ml,02541,6916168616554,山东莱阳,5000ml,160.00,258.00
娃哈哈AD钙奶220g,00648,6902083881085,杭州,220ml,2.00,2.50
剑南春白酒52°浓香型500ml,03934,6901434382882,四川绵竹,500ml,469.00,639.00
农夫水溶C100西柚味445ml,05031,6921168500970,广东,445ml,4.60,5.80
